case_number,court,year,month,pdf_url,civilian_judge,military_judge
OA_3683_of_2012,CHANDIGARH,2014,09,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/september2014/OA_3683_of_2012.pdf,prakash krishna,lt. gen. hs panag
OA_3691_of_2013,CHANDIGARH,2014,09,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/september2014/OA_3691_of_2013.pdf,prakash krishna,lt. gen. hs panag
OA_3952_of_2013,CHANDIGARH,2014,09,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/september2014/OA_3952_of_2013.pdf,prakash krishna,lt. gen. hs panag
TA_36_of_2011,CHANDIGARH,2014,09,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/september2014/TA_36_of_2011.pdf,prakash krishna,lt. gen. hs panag
TA_53_of_2010,CHANDIGARH,2014,09,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/september2014/TA_53_of_2010.pdf,prakash krishna,lt. gen. hs panag
TA_74_of_2013,CHANDIGARH,2014,09,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/september2014/TA_74_of_2013.pdf,prakash krishna,lt. gen. hs panag
TA_108_of_2012,CHANDIGARH,2014,09,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/september2014/TA_108_of_2012.pdf,prakash krishna,lt. gen. hs panag
TA_116_of_2013,CHANDIGARH,2014,09,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/september2014/TA_116_of_2013.pdf,prakash krishna,lt. gen. hs panag
TA_119_of_2012,CHANDIGARH,2014,09,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/september2014/TA_119_of_2012.pdf,prakash krishna,lt. gen. hs panag
TA_154_of_2011,CHANDIGARH,2014,09,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/september2014/TA_154_of_2011.pdf,prakash krishna,lt. gen. hs panag
TA_236_of_2011,CHANDIGARH,2014,09,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/september2014/TA_236_of_2011.pdf,prakash krishna,lt. gen. hs panag
OA_1283_of_2013,CHANDIGARH,2014,10,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/october2014/OA_1283_of_2013.pdf,surinder singh thakur,lt. gen. ds sidhu
OA_2739_of_2013,CHANDIGARH,2014,10,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/october2014/OA_2739_of_2013.pdf,surinder singh thakur,lt. gen. ds sidhu
OA_4448_of_2013,CHANDIGARH,2014,10,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/october2014/OA_4448_of_2013.pdf,surinder singh thakur,lt. gen. ds sidhu
TA_23_of_2013,CHANDIGARH,2014,10,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/october2014/TA_23_of_2013.pdf,surinder singh thakur,lt. gen. ds sidhu
TA_38_of_2012,CHANDIGARH,2014,10,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/october2014/TA_38_of_2012.pdf,surinder singh thakur,lt. gen. ds sidhu
TA_40_of_2013,CHANDIGARH,2014,10,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/october2014/TA_40_of_2013.pdf,surinder singh thakur,lt. gen. ds sidhu
TA_65_of_2011,CHANDIGARH,2014,10,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/october2014/TA_65_of_2011.pdf,surinder singh thakur,lt. gen. ds sidhu
TA_143_of_2012,CHANDIGARH,2014,10,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/october2014/TA_143_of_2012.pdf,surinder singh thakur,lt. gen. ds sidhu
TA_304_of_2011,CHANDIGARH,2014,10,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/october2014/TA_304_of_2011.pdf,surinder singh thakur,lt. gen. ds sidhu
